userId,result
1,"[356, 296, 318, 1, 500, 1097, 48516, 1193, 1968, 1089]"
2,"[2959, 2571, 593, 356, 296, 260, 134130, 7153, 110, 3578]"
3,"[593, 1214, 1198, 32, 2959, 2571, 2762, 2028, 3578, 293]"
4,"[318, 858, 908, 111, 4993, 541, 3996, 750, 1214, 923]"
5,"[356, 480, 377, 593, 231, 47, 587, 292, 648, 350]"
6,"[110, 185, 10, 434, 350, 454, 539, 442, 1, 256]"
7,"[296, 2571, 1196, 6874, 318, 1136, 1291, 1198, 2791, 2959]"
8,"[300, 588, 316, 36, 6, 329, 377, 497, 25, 509]"
9,"[1196, 1210, 593, 1097, 356, 2716, 3671, 1, 296, 32]"
10,"[4886, 4963, 78499, 364, 115617, 1, 6539, 44191, 60069, 59315]"
11,"[527, 318, 260, 2571, 364, 1097, 1036, 858, 34, 47]"
12,"[356, 364, 588, 597, 4995, 6377, 10, 110, 2396, 260]"
13,"[260, 296, 858, 1210, 2571, 1291, 2959, 589, 1196, 2716]"
14,"[589, 208, 380, 364, 457, 780, 527, 588, 648, 34]"
15,"[480, 4306, 1097, 1259, 2858, 1036, 3793, 593, 541, 2324]"
16,"[1206, 2858, 858, 908, 1193, 1214, 922, 5952, 1200, 4027]"
17,"[4306, 8368, 6377, 1580, 6539, 364, 6874, 1200, 5816, 1387]"
18,"[79132, 2329, 2858, 5952, 7153, 1258, 590, 1197, 858, 72998]"
19,"[1270, 296, 1196, 260, 1387, 1954, 593, 1266, 595, 858]"
20,"[356, 1270, 296, 2959, 1136, 2858, 260, 1196, 318, 2174]"
21,"[1270, 356, 593, 2028, 3147, 47, 5989, 590, 1036, 4993]"
22,"[296, 2858, 79132, 608, 58559, 7361, 1221, 50, 78499, 1196]"
23,"[2571, 4993, 4973, 527, 2959, 5445, 50, 2858, 7361, 1148]"
24,"[2959, 589, 110, 1196, 1210, 1, 1270, 7153, 1291, 68954]"
25,"[1210, 1196, 2959, 296, 110, 2028, 1291, 356, 593, 89745]"
26,"[480, 592, 318, 50, 32, 110, 590, 292, 16, 260]"
27,"[2028, 593, 527, 588, 380, 34, 1552, 858, 589, 1240]"
28,"[4973, 6016, 750, 1270, 2858, 1208, 1193, 1291, 1653, 924]"
29,"[4226, 2959, 7153, 480, 1196, 2571, 1210, 1291, 364, 1]"
30,"[7153, 68157, 2959, 89745, 99114, 356, 858, 296, 593, 6874]"
31,"[480, 589, 1210, 32, 260, 364, 318, 356, 2858, 50]"
32,"[551, 1206, 589, 858, 1210, 480, 750, 1732, 1954, 1234]"
33,"[260, 1196, 2762, 2858, 1732, 1200, 541, 1240, 1097, 500]"
34,"[296, 2858, 1197, 1210, 2987, 260, 1270, 2502, 1198, 1407]"
35,"[593, 296, 47, 364, 457, 380, 527, 50, 165, 349]"
36,"[296, 1198, 50, 1213, 32, 356, 858, 1196, 1291, 1136]"
37,"[589, 32, 480, 1210, 2028, 377, 2762, 4011, 2571, 2959]"
38,"[110, 589, 349, 165, 587, 32, 2, 316, 141, 21]"
39,"[356, 480, 1, 1208, 16, 2959, 527, 1265, 1200, 1222]"
40,"[593, 527, 50, 235, 380, 480, 6, 32, 356, 377]"
41,"[318, 7153, 4993, 4306, 58559, 588, 1258, 50, 1968, 527]"
42,"[1200, 480, 457, 1198, 1214, 1240, 2916, 6, 296, 589]"
43,"[368, 296, 21, 110, 2, 474, 2174, 357, 1517, 165]"
44,"[1210, 1197, 1291, 1196, 589, 1198, 2858, 296, 2115, 2683]"
45,"[318, 2959, 8368, 7153, 480, 47, 44191, 5952, 7147, 4776]"
46,"[150, 356, 480, 153, 47, 296, 329, 589, 592, 317]"
47,"[1210, 260, 597, 1270, 2571, 1, 527, 1197, 1196, 1610]"
48,"[1210, 356, 1, 589, 32, 2028, 1196, 110, 1732, 4306]"
49,"[7153, 1198, 593, 1265, 49272, 4993, 260, 1210, 480, 924]"
50,"[1089, 260, 2858, 1196, 1193, 1213, 47, 2997, 50, 912]"
51,"[1270, 2918, 1198, 1197, 50, 1199, 47, 296, 32, 1210]"
52,"[2959, 4963, 2028, 4993, 79132, 1682, 4226, 44191, 109487, 5952]"
53,"[1196, 4226, 356, 2571, 110, 541, 1210, 2028, 260, 5349]"
54,"[364, 150, 587, 597, 380, 260, 377, 344, 316, 648]"
55,"[296, 2571, 2858, 50, 593, 1291, 356, 47, 260, 32]"
56,"[296, 588, 595, 223, 457, 377, 500, 150, 316, 1732]"
57,"[1387, 1732, 1214, 1196, 1089, 2959, 4226, 1197, 2683, 47]"
58,"[858, 1196, 1210, 590, 165, 593, 10, 47, 260, 1198]"
59,"[296, 1193, 1206, 908, 923, 1214, 1230, 1267, 2571, 1225]"
60,"[356, 480, 296, 1221, 593, 595, 6377, 2329, 912, 2858]"
61,"[1200, 2571, 296, 1210, 541, 1196, 1199, 260, 924, 2959]"
62,"[50, 2858, 1196, 2329, 7361, 4226, 260, 1136, 4993, 589]"
63,"[593, 32, 8874, 1206, 3949, 4226, 44191, 6377, 1258, 1653]"
64,"[1198, 4226, 541, 2529, 2997, 1291, 4848, 1580, 1270, 1394]"
65,"[48516, 356, 593, 5952, 3578, 68954, 99114, 47, 58559, 296]"
66,"[1208, 608, 858, 750, 1219, 924, 1193, 356, 1732, 1199]"
67,"[2762, 1198, 1265, 45499, 6874, 58559, 1721, 1682, 1704, 69122]"
68,"[4993, 68954, 780, 4306, 28, 586, 102125, 41566, 3081, 1580]"
69,"[1198, 2115, 2959, 296, 2918, 480, 2858, 318, 110, 1200]"
70,"[1, 1196, 593, 2959, 480, 1079, 1208, 924, 111, 1221]"
71,"[356, 457, 318, 260, 2571, 377, 380, 364, 480, 593]"
72,"[2959, 4226, 6874, 480, 2918, 1527, 4878, 7438, 1036, 356]"
73,"[1721, 1961, 2571, 858, 5418, 2959, 1210, 318, 1704, 2692]"
74,"[1213, 1219, 750, 908, 924, 593, 912, 318, 903, 1199]"
75,"[318, 260, 1210, 2571, 3996, 858, 1197, 2959, 296, 2791]"
76,"[32, 50, 293, 296, 1222, 2959, 1291, 924, 750, 1193]"
77,"[296, 1, 1210, 1270, 2571, 1197, 2959, 5952, 480, 1291]"
78,"[260, 1210, 858, 32, 457, 2028, 110, 592, 3996, 3578]"
79,"[1270, 1, 1527, 318, 1200, 296, 593, 1097, 1198, 356]"
80,"[1214, 260, 1210, 480, 4306, 32587, 8961, 47, 590, 1704]"
81,"[527, 780, 4226, 50, 593, 2762, 5989, 590, 1580, 1240]"
82,"[296, 5445, 318, 1210, 1580, 4963, 2502, 6874, 5418, 5989]"
83,"[2959, 4896, 5989, 6377, 2571, 588, 3114, 527, 5445, 4886]"
84,"[110, 296, 364, 2028, 1, 593, 780, 589, 1961, 1704]"
85,"[457, 356, 1968, 1089, 858, 3897, 50, 357, 1136, 1265]"
86,"[593, 5816, 2692, 296, 2571, 364, 1136, 1527, 4027, 858]"
87,"[1210, 1136, 1196, 296, 33794, 3052, 480, 4993, 6874, 260]"
88,"[2571, 2959, 858, 260, 1210, 7153, 2858, 1089, 356, 480]"
